ids,age,balance,day,duration,pdays,job,contact,marital,default,y
13079,56,87,8,136,-1,retired,cellular,married,no,no
19512,31,246,7,159,-1,technician,cellular,married,no,no
7750,46,49,30,96,-1,technician,unknown,married,no,no
31338,61,5157,13,432,-1,management,cellular,married,no,no
7057,45,25,28,82,-1,admin.,unknown,married,no,no
28368,34,451,29,157,-1,unemployed,cellular,single,no,no
36568,46,2,12,115,-1,management,cellular,divorced,yes,no
37252,38,1137,13,316,-1,blue-collar,cellular,single,no,no
3689,28,82,16,225,-1,management,unknown,married,no,no
38606,41,6393,15,128,-1,blue-collar,cellular,single,no,no
18294,33,1636,31,8,-1,entrepreneur,cellular,married,no,no
11343,42,-303,18,40,-1,blue-collar,unknown,married,no,no
39973,52,2104,3,210,-1,management,cellular,divorced,no,yes
2897,48,1596,14,760,-1,blue-collar,unknown,married,no,yes
43580,79,20,29,165,182,retired,cellular,divorced,no,no
11355,46,110,19,113,-1,unknown,unknown,married,no,no
40428,56,3562,2,229,-1,admin.,cellular,married,no,no
2922,41,2097,14,160,-1,blue-collar,unknown,married,no,no
34670,30,-522,5,670,286,technician,cellular,single,no,yes
14377,32,2,14,79,-1,management,cellular,married,no,no
11353,58,1826,19,47,-1,blue-collar,unknown,married,no,no
18202,48,0,30,100,-1,self-employed,cellular,married,no,no
11820,56,549,20,181,-1,self-employed,unknown,married,no,no
34904,26,1494,6,477,-1,management,cellular,single,no,no
31390,26,15,24,116,-1,management,cellular,single,no,no
31457,55,0,31,829,-1,housemaid,cellular,divorced,no,no
14451,50,305,14,111,-1,management,telephone,married,no,no
9160,55,660,5,348,-1,blue-collar,unknown,married,no,no
15917,36,1733,22,204,-1,admin.,cellular,married,no,no
7090,35,0,29,543,-1,blue-collar,unknown,married,no,yes
31908,35,-312,9,188,-1,admin.,cellular,married,no,no
26669,32,5560,20,330,-1,technician,cellular,married,no,no
31398,23,4126,25,96,-1,student,cellular,single,no,yes
25349,47,153,18,192,-1,management,cellular,single,no,no
17770,49,2,29,246,-1,admin.,cellular,married,no,no
31002,31,830,9,150,-1,technician,cellular,single,no,no
3893,41,647,16,270,-1,management,unknown,divorced,no,no
820,58,1109,7,180,-1,services,unknown,divorced,no,no
27129,47,2944,21,57,154,blue-collar,cellular,married,no,no
24704,38,0,17,960,-1,services,cellular,married,no,no
2996,42,3743,14,136,-1,blue-collar,unknown,married,no,no
5268,31,509,23,183,-1,blue-collar,unknown,single,no,no
3989,44,399,16,148,-1,technician,unknown,divorced,no,no
12519,33,288,3,343,-1,technician,unknown,single,no,no
4155,32,1076,19,67,-1,blue-collar,unknown,married,no,no
22800,48,190,25,14,-1,management,cellular,married,no,no
1157,31,2827,8,238,-1,blue-collar,unknown,married,no,no
336,42,1022,5,146,-1,admin.,unknown,single,no,no
10163,38,8637,11,119,-1,blue-collar,unknown,married,no,no
42837,29,514,2,270,-1,admin.,cellular,single,no,no
20039,46,1103,8,209,-1,management,cellular,married,no,no
2731,57,7,14,65,-1,admin.,unknown,married,no,no
4565,34,673,20,120,-1,management,unknown,single,no,no
31317,34,1085,11,101,-1,admin.,cellular,divorced,no,yes
27925,29,4557,28,103,-1,technician,cellular,married,no,no
29580,36,13,3,150,-1,blue-collar,cellular,married,yes,no
41882,72,806,19,169,-1,retired,cellular,married,no,no
32048,65,5251,14,226,-1,management,telephone,married,no,no
16921,30,3195,25,134,-1,blue-collar,cellular,single,no,no
15315,56,-1,18,304,-1,blue-collar,cellular,divorced,yes,no
32643,40,4795,17,57,-1,blue-collar,cellular,married,no,no
11625,42,923,19,129,-1,management,unknown,divorced,yes,no
10211,58,313,11,204,-1,management,unknown,married,no,no
27984,33,0,28,176,266,blue-collar,cellular,married,no,no
44841,35,278,21,84,-1,student,unknown,single,no,no
4605,33,3512,20,697,-1,blue-collar,unknown,married,no,no
34631,33,1480,5,223,-1,technician,cellular,divorced,no,no
30194,30,574,5,11,-1,blue-collar,cellular,single,no,no
21955,39,-146,20,239,-1,housemaid,cellular,married,no,no
44418,35,415,4,462,92,unemployed,cellular,single,no,yes
36,25,-7,5,365,-1,blue-collar,unknown,married,no,no
36054,34,0,11,547,-1,entrepreneur,cellular,married,no,no
37830,36,779,14,172,-1,blue-collar,cellular,married,no,no
3346,23,76,15,23,-1,technician,unknown,single,no,no
39186,27,2752,18,165,-1,blue-collar,cellular,single,no,no
30783,32,-184,6,129,197,housemaid,cellular,married,no,no
43280,27,948,12,121,207,management,cellular,single,no,no
5732,40,193,26,258,-1,blue-collar,unknown,married,no,no
30356,34,0,5,71,-1,management,cellular,single,no,no
4933,33,932,21,226,-1,blue-collar,unknown,married,no,no
31361,29,261,17,136,-1,admin.,cellular,single,no,no
44058,19,526,1,174,199,student,cellular,single,no,no
2015,31,42,9,210,-1,blue-collar,unknown,married,no,no
21815,46,591,20,50,-1,technician,cellular,married,no,no
15639,27,1372,21,230,-1,blue-collar,cellular,single,no,no
43678,31,136,12,228,267,blue-collar,cellular,married,no,yes
1306,54,841,8,284,-1,services,unknown,married,no,no
36616,60,-134,12,243,271,retired,cellular,divorced,no,no
10632,55,0,16,153,-1,technician,unknown,married,no,no
6656,45,-839,28,68,-1,services,unknown,married,no,no
37789,23,1105,14,377,-1,blue-collar,cellular,single,no,no
1975,48,231,9,752,-1,blue-collar,unknown,married,no,no
22080,40,185,21,310,-1,management,cellular,married,no,no
9607,45,246,6,119,-1,admin.,unknown,divorced,no,no
16163,60,-223,22,282,-1,blue-collar,cellular,married,no,no
12678,33,4385,4,92,-1,management,cellular,married,no,no
15944,25,38,22,278,-1,entrepreneur,cellular,married,no,no
1782,39,183,9,324,-1,management,unknown,married,no,no
42097,20,0,2,69,182,student,cellular,single,no,no
26050,33,923,19,1307,173,management,cellular,single,no,no
2863,51,482,14,178,-1,management,unknown,divorced,no,no
6367,28,863,27,355,-1,unemployed,unknown,married,no,no
14705,50,219,15,419,-1,admin.,cellular,married,no,no
44758,28,1595,9,1,254,admin.,unknown,married,no,no
4328,34,164,19,102,-1,blue-collar,unknown,divorced,no,no
29707,41,-89,3,195,251,technician,cellular,single,no,no
44278,28,2015,26,110,182,student,cellular,single,no,no
28838,54,1114,30,81,-1,technician,cellular,divorced,no,no
7375,34,10,29,310,-1,admin.,unknown,single,no,no
4114,59,457,19,63,-1,blue-collar,unknown,divorced,no,no
332,30,-457,5,143,-1,blue-collar,unknown,single,no,no
12993,47,24,7,95,-1,services,cellular,married,no,no
40094,24,1957,4,113,-1,student,cellular,single,no,no
9935,37,4997,9,172,-1,blue-collar,unknown,married,no,no
24296,49,1084,17,99,-1,services,telephone,married,no,no
5669,30,541,26,414,-1,technician,unknown,married,no,yes
25001,55,5010,18,530,-1,management,cellular,married,no,no
26901,36,14462,21,10,-1,management,cellular,married,no,no
31705,53,53,7,208,140,blue-collar,cellular,married,no,no
1967,29,15,9,432,-1,blue-collar,unknown,married,no,no
39450,32,31,25,101,-1,admin.,cellular,married,no,no
33709,34,0,21,95,-1,services,cellular,married,no,no
35307,53,913,7,213,288,blue-collar,cellular,married,no,no
33684,39,143,20,6,348,blue-collar,cellular,married,no,no
27792,52,393,28,446,182,services,cellular,married,no,no
5747,47,191,26,212,-1,management,unknown,single,no,no
16977,54,2079,25,217,-1,management,cellular,divorced,no,no
21904,55,128,20,359,-1,admin.,cellular,married,no,no
36611,41,224,12,22,-1,admin.,cellular,single,no,no
40610,28,1240,4,849,-1,management,cellular,married,no,yes
41087,32,551,14,99,-1,blue-collar,cellular,single,no,no
13340,55,859,8,153,-1,admin.,telephone,married,no,no
4831,28,135,21,195,-1,entrepreneur,unknown,single,no,no
38886,32,396,18,88,364,admin.,cellular,single,no,no
28771,31,1384,30,203,2,management,cellular,married,no,no
6341,51,-1042,27,272,-1,technician,unknown,married,no,no
29521,26,23494,3,136,-1,unemployed,cellular,single,no,no
5622,33,471,23,215,-1,management,unknown,divorced,no,no
33761,34,0,22,176,-1,management,cellular,married,no,no
40058,37,1045,4,106,79,services,cellular,single,no,no
1977,38,138,9,182,-1,self-employed,unknown,married,no,no
35208,40,322,7,201,-1,blue-collar,cellular,single,no,no
35071,35,343,6,151,-1,blue-collar,cellular,single,no,no
35878,37,3429,8,151,171,services,cellular,married,no,no
18349,58,53,31,102,-1,retired,cellular,married,no,no
15372,50,1498,18,223,-1,blue-collar,cellular,married,no,no
2160,46,-29,12,322,-1,blue-collar,unknown,married,no,no
18180,47,337,30,300,-1,management,telephone,married,no,no
28850,45,44,30,250,2,entrepreneur,cellular,divorced,no,no
1367,28,120,8,130,-1,self-employed,unknown,married,no,no
19722,40,162,7,256,-1,technician,cellular,married,no,no
32519,43,664,17,119,-1,admin.,cellular,single,no,no
17217,54,38,28,115,-1,blue-collar,cellular,married,no,no
44883,36,980,24,349,53,self-employed,cellular,married,no,no
41036,74,6027,14,233,-1,retired,cellular,married,no,no
6311,39,1135,27,35,-1,blue-collar,unknown,married,no,no
21579,32,644,19,100,-1,management,cellular,married,no,no
12023,40,142,20,14,-1,admin.,unknown,single,no,no
13435,54,-22,9,85,-1,services,cellular,married,no,no
42028,27,390,28,190,82,management,cellular,single,no,no
41629,49,1791,25,139,-1,self-employed,cellular,married,no,no
36934,40,2495,12,135,354,blue-collar,cellular,married,no,no
18908,46,809,4,160,-1,blue-collar,cellular,married,no,no
29990,46,954,4,532,-1,entrepreneur,cellular,married,no,no
29878,39,33,4,211,-1,blue-collar,cellular,married,no,no
4862,35,6659,21,83,-1,management,unknown,single,no,no
885,29,8,7,233,-1,unemployed,unknown,married,no,no
44015,22,10971,28,181,-1,student,cellular,single,no,no
18097,40,4,30,63,-1,admin.,cellular,divorced,no,no
36787,35,68,12,334,347,blue-collar,cellular,single,no,no
31057,72,0,13,99,-1,retired,cellular,married,no,yes
772,42,0,7,275,-1,technician,unknown,single,no,no
15953,40,121,22,80,-1,entrepreneur,cellular,married,no,no
36307,49,0,11,52,-1,blue-collar,telephone,married,no,no
42371,46,38,25,541,-1,housemaid,cellular,married,no,yes
23120,52,517,26,77,-1,self-employed,cellular,married,no,no
12834,40,492,7,125,-1,management,cellular,divorced,no,no
14810,60,686,16,122,-1,admin.,cellular,married,no,no
12114,37,-456,20,42,-1,entrepreneur,unknown,married,yes,no
20969,37,2686,14,144,-1,technician,cellular,divorced,no,no
35220,34,49,7,393,351,technician,cellular,single,no,no
25897,50,4012,19,690,-1,self-employed,cellular,married,no,no
2740,42,243,14,46,-1,admin.,unknown,single,no,no
12327,28,702,26,318,-1,blue-collar,unknown,married,no,no
3211,47,107,15,246,-1,management,unknown,divorced,no,no
24406,45,1171,17,34,-1,technician,cellular,single,no,no
12813,39,2319,7,84,-1,admin.,cellular,married,no,no
14419,54,308,14,248,-1,retired,cellular,divorced,no,no
30235,30,144,5,259,260,blue-collar,cellular,single,no,no
13358,52,4873,8,99,-1,management,cellular,married,no,no
26718,36,3649,20,399,156,blue-collar,cellular,single,no,no
4680,38,273,20,314,-1,technician,unknown,divorced,no,no
42047,61,272,29,318,269,blue-collar,cellular,married,no,no
23428,39,0,27,63,-1,management,cellular,married,no,no
42995,76,3324,11,309,90,retired,cellular,married,no,yes
36294,41,81,11,193,-1,housemaid,cellular,married,no,no
28257,30,783,29,197,-1,blue-collar,cellular,single,no,no
4618,33,148,20,717,-1,management,unknown,married,no,no
36575,40,1808,12,560,-1,blue-collar,cellular,married,no,yes
40777,31,10884,10,294,98,management,cellular,married,no,yes
31815,32,1951,8,518,261,technician,cellular,married,no,no
3623,49,247,15,213,-1,retired,unknown,married,no,no
11962,51,3984,20,7,-1,housemaid,unknown,married,no,no
43124,38,711,24,254,140,blue-collar,cellular,single,no,no
2200,54,104,12,391,-1,entrepreneur,unknown,divorced,no,no
15434,32,188,18,144,-1,blue-collar,cellular,single,no,no
41253,39,116,24,79,94,technician,cellular,married,no,no
12679,30,137,4,407,-1,services,cellular,married,no,no
29983,37,1032,4,63,-1,unemployed,telephone,single,no,no
25264,38,4644,18,55,-1,services,telephone,married,no,no
6382,23,13,27,280,-1,blue-collar,unknown,single,no,no
42226,39,1509,11,248,-1,management,cellular,single,no,no
35335,53,1066,7,57,170,self-employed,cellular,married,no,no
41658,26,132,1,194,119,student,cellular,single,no,yes
30423,28,440,5,177,-1,technician,cellular,single,no,no
3385,42,8,15,299,-1,services,unknown,married,no,no
22889,35,31,25,390,-1,technician,cellular,married,no,no
44538,25,1003,12,361,-1,student,cellular,single,no,yes
14417,43,778,14,619,-1,services,cellular,married,no,no
20803,42,849,13,403,-1,technician,cellular,married,no,no
40027,41,15787,3,175,-1,management,cellular,married,no,no
22684,33,9,25,145,-1,technician,cellular,single,no,no
5713,53,1925,26,153,-1,management,unknown,married,no,no
25565,58,60,19,291,-1,management,cellular,married,no,no
12724,47,3531,7,49,-1,admin.,cellular,single,no,no
18283,27,0,31,13,-1,technician,cellular,single,no,no
6873,29,1336,28,298,-1,services,unknown,divorced,no,no
