ids,age,balance,day,duration,pdays,job,contact,education,marital,default,y
13079,56,87,8,136,-1,retired,cellular,tertiary,married,no,no
19512,31,246,7,159,-1,technician,cellular,secondary,married,no,no
7750,46,49,30,96,-1,technician,unknown,secondary,married,no,no
31338,61,5157,13,432,-1,management,cellular,tertiary,married,no,no
7057,45,25,28,82,-1,admin.,unknown,secondary,married,no,no
28368,34,451,29,157,-1,unemployed,cellular,primary,single,no,no
36568,46,2,12,115,-1,management,cellular,secondary,divorced,yes,no
37252,38,1137,13,316,-1,blue-collar,cellular,secondary,single,no,no
3689,28,82,16,225,-1,management,unknown,tertiary,married,no,no
38606,41,6393,15,128,-1,blue-collar,cellular,secondary,single,no,no
18294,33,1636,31,8,-1,entrepreneur,cellular,tertiary,married,no,no
11343,42,-303,18,40,-1,blue-collar,unknown,primary,married,no,no
39973,52,2104,3,210,-1,management,cellular,tertiary,divorced,no,yes
2897,48,1596,14,760,-1,blue-collar,unknown,secondary,married,no,yes
43580,79,20,29,165,182,retired,cellular,primary,divorced,no,no
11355,46,110,19,113,-1,unknown,unknown,primary,married,no,no
40428,56,3562,2,229,-1,admin.,cellular,primary,married,no,no
2922,41,2097,14,160,-1,blue-collar,unknown,primary,married,no,no
34670,30,-522,5,670,286,technician,cellular,secondary,single,no,yes
14377,32,2,14,79,-1,management,cellular,tertiary,married,no,no
11353,58,1826,19,47,-1,blue-collar,unknown,secondary,married,no,no
18202,48,0,30,100,-1,self-employed,cellular,tertiary,married,no,no
11820,56,549,20,181,-1,self-employed,unknown,secondary,married,no,no
34904,26,1494,6,477,-1,management,cellular,tertiary,single,no,no
31390,26,15,24,116,-1,management,cellular,tertiary,single,no,no
31457,55,0,31,829,-1,housemaid,cellular,secondary,divorced,no,no
14451,50,305,14,111,-1,management,telephone,tertiary,married,no,no
9160,55,660,5,348,-1,blue-collar,unknown,secondary,married,no,no
15917,36,1733,22,204,-1,admin.,cellular,secondary,married,no,no
7090,35,0,29,543,-1,blue-collar,unknown,secondary,married,no,yes
31908,35,-312,9,188,-1,admin.,cellular,secondary,married,no,no
26669,32,5560,20,330,-1,technician,cellular,secondary,married,no,no
31398,23,4126,25,96,-1,student,cellular,secondary,single,no,yes
25349,47,153,18,192,-1,management,cellular,tertiary,single,no,no
17770,49,2,29,246,-1,admin.,cellular,secondary,married,no,no
31002,31,830,9,150,-1,technician,cellular,tertiary,single,no,no
3893,41,647,16,270,-1,management,unknown,tertiary,divorced,no,no
820,58,1109,7,180,-1,services,unknown,secondary,divorced,no,no
27129,47,2944,21,57,154,blue-collar,cellular,secondary,married,no,no
24704,38,0,17,960,-1,services,cellular,primary,married,no,no
2996,42,3743,14,136,-1,blue-collar,unknown,secondary,married,no,no
5268,31,509,23,183,-1,blue-collar,unknown,secondary,single,no,no
3989,44,399,16,148,-1,technician,unknown,secondary,divorced,no,no
12519,33,288,3,343,-1,technician,unknown,tertiary,single,no,no
4155,32,1076,19,67,-1,blue-collar,unknown,primary,married,no,no
22800,48,190,25,14,-1,management,cellular,tertiary,married,no,no
1157,31,2827,8,238,-1,blue-collar,unknown,tertiary,married,no,no
336,42,1022,5,146,-1,admin.,unknown,secondary,single,no,no
10163,38,8637,11,119,-1,blue-collar,unknown,primary,married,no,no
42837,29,514,2,270,-1,admin.,cellular,tertiary,single,no,no
20039,46,1103,8,209,-1,management,cellular,tertiary,married,no,no
2731,57,7,14,65,-1,admin.,unknown,secondary,married,no,no
4565,34,673,20,120,-1,management,unknown,tertiary,single,no,no
31317,34,1085,11,101,-1,admin.,cellular,secondary,divorced,no,yes
27925,29,4557,28,103,-1,technician,cellular,tertiary,married,no,no
29580,36,13,3,150,-1,blue-collar,cellular,secondary,married,yes,no
41882,72,806,19,169,-1,retired,cellular,primary,married,no,no
32048,65,5251,14,226,-1,management,telephone,secondary,married,no,no
16921,30,3195,25,134,-1,blue-collar,cellular,primary,single,no,no
15315,56,-1,18,304,-1,blue-collar,cellular,primary,divorced,yes,no
32643,40,4795,17,57,-1,blue-collar,cellular,secondary,married,no,no
11625,42,923,19,129,-1,management,unknown,secondary,divorced,yes,no
10211,58,313,11,204,-1,management,unknown,tertiary,married,no,no
27984,33,0,28,176,266,blue-collar,cellular,secondary,married,no,no
44841,35,278,21,84,-1,student,unknown,secondary,single,no,no
4605,33,3512,20,697,-1,blue-collar,unknown,primary,married,no,no
34631,33,1480,5,223,-1,technician,cellular,secondary,divorced,no,no
