,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,pdays,previous,poutcome,y,ids
13079,56.0,retired,married,tertiary,no,87.0,no,no,cellular,8.0,jul,136.0,-1.0,0.0,unknown,no,13079
19512,31.0,technician,married,secondary,no,246.0,no,no,cellular,7.0,aug,159.0,-1.0,0.0,unknown,no,19512
7750,46.0,technician,married,secondary,no,49.0,yes,no,unknown,30.0,may,96.0,-1.0,0.0,unknown,no,7750
31338,61.0,management,married,tertiary,no,5157.0,no,no,cellular,13.0,mar,432.0,-1.0,0.0,unknown,no,31338
7057,45.0,admin.,married,secondary,no,25.0,yes,no,unknown,28.0,may,82.0,-1.0,0.0,unknown,no,7057
28368,34.0,unemployed,single,primary,no,451.0,no,no,cellular,29.0,jan,157.0,-1.0,0.0,unknown,no,28368
36568,46.0,management,divorced,secondary,yes,2.0,no,no,cellular,12.0,may,115.0,-1.0,0.0,unknown,no,36568
37252,38.0,blue-collar,single,secondary,no,1137.0,no,no,cellular,13.0,may,316.0,-1.0,0.0,unknown,no,37252
3689,28.0,management,married,tertiary,no,82.0,yes,yes,unknown,16.0,may,225.0,-1.0,0.0,unknown,no,3689
38606,41.0,blue-collar,single,secondary,no,6393.0,yes,no,cellular,15.0,may,128.0,-1.0,0.0,unknown,no,38606
18294,33.0,entrepreneur,married,tertiary,no,1636.0,no,no,cellular,31.0,jul,8.0,-1.0,0.0,unknown,no,18294
11343,42.0,blue-collar,married,primary,no,-303.0,yes,no,unknown,18.0,jun,40.0,-1.0,0.0,unknown,no,11343
39973,52.0,management,divorced,tertiary,no,2104.0,no,no,cellular,3.0,jun,210.0,-1.0,0.0,unknown,yes,39973
2897,48.0,blue-collar,married,secondary,no,1596.0,yes,no,unknown,14.0,may,760.0,-1.0,0.0,unknown,yes,2897
43580,79.0,retired,divorced,primary,no,20.0,no,no,cellular,29.0,apr,165.0,182.0,1.0,other,no,43580
11355,46.0,unknown,married,primary,no,110.0,no,no,unknown,19.0,jun,113.0,-1.0,0.0,unknown,no,11355
40428,56.0,admin.,married,primary,no,3562.0,no,no,cellular,2.0,jul,229.0,-1.0,0.0,unknown,no,40428
2922,41.0,blue-collar,married,primary,no,2097.0,yes,no,unknown,14.0,may,160.0,-1.0,0.0,unknown,no,2922
34670,30.0,technician,single,secondary,no,-522.0,yes,yes,cellular,5.0,may,670.0,286.0,6.0,failure,yes,34670
14377,32.0,management,married,tertiary,no,2.0,yes,no,cellular,14.0,jul,79.0,-1.0,0.0,unknown,no,14377
11353,58.0,blue-collar,married,secondary,no,1826.0,yes,no,unknown,19.0,jun,47.0,-1.0,0.0,unknown,no,11353
18202,48.0,self-employed,married,tertiary,no,0.0,no,no,cellular,30.0,jul,100.0,-1.0,0.0,unknown,no,18202
11820,56.0,self-employed,married,secondary,no,549.0,no,yes,unknown,20.0,jun,181.0,-1.0,0.0,unknown,no,11820
34904,26.0,management,single,tertiary,no,1494.0,yes,no,cellular,6.0,may,477.0,-1.0,0.0,unknown,no,34904
31390,26.0,management,single,tertiary,no,15.0,no,no,cellular,24.0,mar,116.0,-1.0,0.0,unknown,no,31390
31457,55.0,housemaid,divorced,secondary,no,0.0,no,no,cellular,31.0,mar,829.0,-1.0,0.0,unknown,no,31457
14451,50.0,management,married,tertiary,no,305.0,yes,no,telephone,14.0,jul,111.0,-1.0,0.0,unknown,no,14451
9160,55.0,blue-collar,married,secondary,no,660.0,no,no,unknown,5.0,jun,348.0,-1.0,0.0,unknown,no,9160
15917,36.0,admin.,married,secondary,no,1733.0,no,yes,cellular,22.0,jul,204.0,-1.0,0.0,unknown,no,15917
7090,35.0,blue-collar,married,secondary,no,0.0,yes,yes,unknown,29.0,may,543.0,-1.0,0.0,unknown,yes,7090
31908,35.0,admin.,married,secondary,no,-312.0,no,no,cellular,9.0,apr,188.0,-1.0,0.0,unknown,no,31908
26669,32.0,technician,married,secondary,no,5560.0,yes,yes,cellular,20.0,nov,330.0,-1.0,0.0,unknown,no,26669
31398,23.0,student,single,secondary,no,4126.0,no,no,cellular,25.0,mar,96.0,-1.0,0.0,unknown,yes,31398
25349,47.0,management,single,tertiary,no,153.0,yes,no,cellular,18.0,nov,192.0,-1.0,0.0,unknown,no,25349
17770,49.0,admin.,married,secondary,no,2.0,no,no,cellular,29.0,jul,246.0,-1.0,0.0,unknown,no,17770
31002,31.0,technician,single,tertiary,no,830.0,yes,no,cellular,9.0,feb,150.0,-1.0,0.0,unknown,no,31002
3893,41.0,management,divorced,tertiary,no,647.0,yes,no,unknown,16.0,may,270.0,-1.0,0.0,unknown,no,3893
820,58.0,services,divorced,secondary,no,1109.0,yes,yes,unknown,7.0,may,180.0,-1.0,0.0,unknown,no,820
27129,47.0,blue-collar,married,secondary,no,2944.0,no,no,cellular,21.0,nov,57.0,154.0,5.0,failure,no,27129
24704,38.0,services,married,primary,no,0.0,yes,no,cellular,17.0,nov,960.0,-1.0,0.0,unknown,no,24704
2996,42.0,blue-collar,married,secondary,no,3743.0,yes,no,unknown,14.0,may,136.0,-1.0,0.0,unknown,no,2996
5268,31.0,blue-collar,single,secondary,no,509.0,yes,no,unknown,23.0,may,183.0,-1.0,0.0,unknown,no,5268
3989,44.0,technician,divorced,secondary,no,399.0,yes,no,unknown,16.0,may,148.0,-1.0,0.0,unknown,no,3989
12519,33.0,technician,single,tertiary,no,288.0,yes,yes,unknown,3.0,jul,343.0,-1.0,0.0,unknown,no,12519
4155,32.0,blue-collar,married,primary,no,1076.0,yes,no,unknown,19.0,may,67.0,-1.0,0.0,unknown,no,4155
22800,48.0,management,married,tertiary,no,190.0,no,no,cellular,25.0,aug,14.0,-1.0,0.0,unknown,no,22800
1157,31.0,blue-collar,married,tertiary,no,2827.0,yes,no,unknown,8.0,may,238.0,-1.0,0.0,unknown,no,1157
336,42.0,admin.,single,secondary,no,1022.0,yes,no,unknown,5.0,may,146.0,-1.0,0.0,unknown,no,336
10163,38.0,blue-collar,married,primary,no,8637.0,yes,no,unknown,11.0,jun,119.0,-1.0,0.0,unknown,no,10163
42837,29.0,admin.,single,tertiary,no,514.0,no,no,cellular,2.0,feb,270.0,-1.0,0.0,unknown,no,42837
20039,46.0,management,married,tertiary,no,1103.0,yes,no,cellular,8.0,aug,209.0,-1.0,0.0,unknown,no,20039
2731,57.0,admin.,married,secondary,no,7.0,yes,no,unknown,14.0,may,65.0,-1.0,0.0,unknown,no,2731
