ids,age,balance,day,duration,pdays,job,contact,marital,default,y
0,58,2143,5,261,-1,management,unknown,married,no,no
2,33,2,5,76,-1,entrepreneur,unknown,married,no,no
3,47,1506,5,92,-1,blue-collar,unknown,married,no,no
6,28,447,5,217,-1,management,unknown,single,no,no
7,42,2,5,380,-1,entrepreneur,unknown,divorced,yes,no
8,58,121,5,50,-1,retired,unknown,married,no,no
11,29,390,5,137,-1,admin.,unknown,single,no,no
12,53,6,5,517,-1,technician,unknown,married,no,no
13,58,71,5,71,-1,technician,unknown,married,no,no
15,51,229,5,353,-1,retired,unknown,married,no,no
16,45,13,5,98,-1,admin.,unknown,single,no,no
19,33,0,5,54,-1,services,unknown,married,no,no
22,32,23,5,160,-1,blue-collar,unknown,single,no,no
23,25,50,5,342,-1,services,unknown,married,no,no
24,40,0,5,181,-1,retired,unknown,married,no,no
25,44,-372,5,172,-1,admin.,unknown,married,no,no
26,39,255,5,296,-1,management,unknown,single,no,no
27,52,113,5,127,-1,entrepreneur,unknown,married,no,no
28,46,-246,5,255,-1,management,unknown,single,no,no
29,36,265,5,348,-1,technician,unknown,single,no,no
31,49,378,5,230,-1,management,unknown,married,no,no
32,60,39,5,208,-1,admin.,unknown,married,no,no
33,59,0,5,226,-1,blue-collar,unknown,married,no,no
34,51,10635,5,336,-1,management,unknown,married,no,no
35,57,63,5,242,-1,technician,unknown,divorced,no,no
38,36,506,5,577,-1,admin.,unknown,divorced,no,no
39,37,0,5,137,-1,admin.,unknown,single,no,no
40,44,2586,5,160,-1,services,unknown,divorced,no,no
41,50,49,5,180,-1,management,unknown,married,no,no
42,60,104,5,22,-1,blue-collar,unknown,married,no,no
43,54,529,5,1492,-1,retired,unknown,married,no,no
44,58,96,5,616,-1,retired,unknown,married,no,no
45,36,-171,5,242,-1,admin.,unknown,single,no,no
46,58,-364,5,355,-1,self-employed,unknown,married,no,no
47,44,0,5,225,-1,technician,unknown,married,no,no
48,55,0,5,160,-1,technician,unknown,divorced,no,no
49,29,0,5,363,-1,management,unknown,single,no,no
51,48,-244,5,253,-1,management,unknown,divorced,no,no
52,32,0,5,179,-1,management,unknown,married,no,no
53,42,-76,5,787,-1,admin.,unknown,single,no,no
54,24,-103,5,145,-1,technician,unknown,single,no,no
55,38,243,5,174,-1,entrepreneur,unknown,single,no,no
57,47,306,5,13,-1,blue-collar,unknown,married,no,no
58,40,24,5,185,-1,blue-collar,unknown,single,no,no
59,46,179,5,1778,-1,services,unknown,married,no,no
60,32,0,5,138,-1,admin.,unknown,married,no,no
61,53,989,5,812,-1,technician,unknown,divorced,no,no
62,57,249,5,164,-1,blue-collar,unknown,married,no,no
63,33,790,5,391,-1,services,unknown,married,no,no
64,49,154,5,357,-1,blue-collar,unknown,married,no,no
65,51,6530,5,91,-1,management,unknown,married,no,no
66,60,100,5,528,-1,retired,unknown,married,no,no
67,59,59,5,273,-1,management,unknown,divorced,no,no
68,55,1205,5,158,-1,technician,unknown,married,no,no
69,35,12223,5,177,-1,blue-collar,unknown,single,no,no
