,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,pdays,previous,poutcome,y,ids
0,58.0,management,married,tertiary,no,2143.0,yes,no,unknown,5.0,may,261.0,-1.0,0.0,unknown,no,0
2,33.0,entrepreneur,married,secondary,no,2.0,yes,yes,unknown,5.0,may,76.0,-1.0,0.0,unknown,no,2
3,47.0,blue-collar,married,unknown,no,1506.0,yes,no,unknown,5.0,may,92.0,-1.0,0.0,unknown,no,3
5,35.0,management,married,tertiary,no,231.0,yes,no,unknown,5.0,may,139.0,-1.0,0.0,unknown,no,5
6,28.0,management,single,tertiary,no,447.0,yes,yes,unknown,5.0,may,217.0,-1.0,0.0,unknown,no,6
7,42.0,entrepreneur,divorced,tertiary,yes,2.0,yes,no,unknown,5.0,may,380.0,-1.0,0.0,unknown,no,7
8,58.0,retired,married,primary,no,121.0,yes,no,unknown,5.0,may,50.0,-1.0,0.0,unknown,no,8
11,29.0,admin.,single,secondary,no,390.0,yes,no,unknown,5.0,may,137.0,-1.0,0.0,unknown,no,11
12,53.0,technician,married,secondary,no,6.0,yes,no,unknown,5.0,may,517.0,-1.0,0.0,unknown,no,12
13,58.0,technician,married,unknown,no,71.0,yes,no,unknown,5.0,may,71.0,-1.0,0.0,unknown,no,13
15,51.0,retired,married,primary,no,229.0,yes,no,unknown,5.0,may,353.0,-1.0,0.0,unknown,no,15
16,45.0,admin.,single,unknown,no,13.0,yes,no,unknown,5.0,may,98.0,-1.0,0.0,unknown,no,16
17,57.0,blue-collar,married,primary,no,52.0,yes,no,unknown,5.0,may,38.0,-1.0,0.0,unknown,no,17
19,33.0,services,married,secondary,no,0.0,yes,no,unknown,5.0,may,54.0,-1.0,0.0,unknown,no,19
20,28.0,blue-collar,married,secondary,no,723.0,yes,yes,unknown,5.0,may,262.0,-1.0,0.0,unknown,no,20
22,32.0,blue-collar,single,primary,no,23.0,yes,yes,unknown,5.0,may,160.0,-1.0,0.0,unknown,no,22
23,25.0,services,married,secondary,no,50.0,yes,no,unknown,5.0,may,342.0,-1.0,0.0,unknown,no,23
24,40.0,retired,married,primary,no,0.0,yes,yes,unknown,5.0,may,181.0,-1.0,0.0,unknown,no,24
25,44.0,admin.,married,secondary,no,-372.0,yes,no,unknown,5.0,may,172.0,-1.0,0.0,unknown,no,25
26,39.0,management,single,tertiary,no,255.0,yes,no,unknown,5.0,may,296.0,-1.0,0.0,unknown,no,26
